tradeno,tradedate,tradetime,secid,price,quantity,value,buysell,tradingsession
37,05.12.2011,19:35,ROSN,92.15,481,44324.15,B,1
38,13.10.2011,7:49,ROSN,3164.24,1667,5274788.08,B,1
39,23.01.2014,3:55,ROSN,1617.25,1457,2356333.25,S,1
40,18.01.2011,16:36,ROSN,454.73,1572,714835.56,S,1
41,14.01.2010,8:17,ROSN,4218.89,385,1624272.65,B,1
42,29.09.2002,10:40,ROSN,263.06,292,76813.52,S,1
43,17.07.2015,20:09,ROSN,1790.14,634,1134948.76,B,1
44,23.03.2019,17:27,ROSN,1298.59,1986,2578999.74,B,1
45,14.04.2021,4:16,ROSN,2745.98,1779,4885098.42,B,1
46,28.04.2011,18:45,ROSN,2115.19,858,1814833.02,B,1
47,25.05.2008,5:31,ROSN,2335.78,216,504528.48,B,1
48,10.10.2016,16:49,ROSN,2334.16,1024,2390179.84,S,1
49,20.01.2014,12:44,ROSN,3648.96,684,2495888.64,B,1
50,23.02.2010,1:58,ROSN,1541.96,359,553563.64,B,1
51,27.11.2021,16:19,ROSN,1364.2,356,485655.2,B,1
52,22.08.2007,17:13,ROSN,1757.1,1722,3025726.2,B,1
53,06.06.2007,6:29,ROSN,4148.02,92,381617.84,S,1
54,28.04.2005,21:11,ROSN,3455.58,1193,4122506.94,S,1
55,07.06.2007,5:49,ROSN,2060.85,1036,2135040.6,S,1
56,15.04.2012,12:34,ROSN,4701.26,924,4343964.24,B,1
57,04.12.2012,13:52,ROSN,2184.39,624,1363059.36,S,1
58,16.08.2023,4:25,ROSN,464.77,1716,797545.32,S,1
59,12.12.2019,4:32,ROSN,831.39,1387,1153137.93,B,1
60,17.06.2009,17:30,ROSN,1452.82,1425,2070268.5,B,1
61,13.09.2011,16:27,ROSN,3840.14,1732,6651122.48,S,1
62,27.04.2015,14:14,ROSN,568.12,1883,1069769.96,S,1
63,12.06.2014,21:40,ROSN,1251.58,1903,2381756.74,B,1
64,06.10.2009,8:35,ROSN,141.89,698,99039.22,S,1
65,19.06.2003,12:39,ROSN,4755.06,454,2158797.24,S,1
66,21.11.2005,12:48,ROSN,1632.25,1311,2139879.75,S,1
67,25.07.2006,15:43,ROSN,3457.49,1778,6147417.22,B,1
68,14.07.2013,16:53,ROSN,1591.93,1049,1669934.57,B,1
69,03.02.2018,3:59,ROSN,4232.0,1115,4718680.0,S,1
70,29.02.2008,1:55,ROSN,2043.35,814,1663286.9,B,1
71,23.03.2013,2:26,ROSN,392.95,208,81733.6,S,1
72,02.11.2015,20:42,ROSN,3503.38,1623,5685985.74,S,1
73,08.04.2001,15:18,ROSN,4964.27,1648,8181116.96,B,1
74,05.11.2004,19:56,ROSN,2683.45,1496,4014441.2,S,1
75,27.07.2006,1:57,ROSN,4052.46,195,790229.7,B,1
76,09.01.2012,23:20,ROSN,1407.5,1506,2119695.0,B,1
77,05.11.2004,15:28,ROSN,1565.91,103,161288.73,B,1
78,22.03.2006,12:18,ROSN,3826.73,1949,7458296.77,B,1
79,03.02.2017,14:30,ROSN,1165.23,1341,1562573.43,S,1
80,26.09.2001,20:13,ROSN,1065.22,1415,1507286.3,S,1
81,10.04.2007,23:33,ROSN,1443.56,1732,2500245.92,B,1
82,10.06.2019,22:57,ROSN,879.42,1929,1696401.18,S,1
83,13.04.2010,0:30,ROSN,4634.67,366,1696289.22,B,1
84,06.03.2003,12:57,ROSN,574.94,1024,588738.56,B,1
85,25.04.2020,15:45,ROSN,2049.96,187,383342.52,S,1
86,13.05.2005,14:36,ROSN,4645.6,61,283381.6,B,1
87,01.02.2018,12:51,ROSN,484.18,805,389764.9,S,1
88,07.11.2008,18:23,ROSN,3192.99,939,2998217.61,S,1
89,16.12.2021,15:50,ROSN,1044.42,369,385390.98,B,1
90,20.08.2000,13:37,ROSN,428.69,1223,524287.87,S,1
91,10.05.2002,12:26,ROSN,471.59,745,351334.55,B,1
92,27.05.2019,2:38,ROSN,1231.66,704,867088.64,S,1
93,11.05.2008,17:38,ROSN,911.84,1265,1153477.6,S,1
94,26.10.2020,15:50,ROSN,3197.72,32,102327.04,S,1
95,28.11.2000,11:59,ROSN,3394.77,1776,6029111.52,B,1
96,27.10.2007,22:31,ROSN,1129.48,1828,2064689.44,S,1
97,05.01.2009,13:56,ROSN,1097.8,1709,1876140.2,B,1
98,13.09.2022,12:37,ROSN,11.66,866,10097.56,S,1
99,12.01.2011,15:50,ROSN,3341.68,960,3208012.8,S,1
100,14.03.2015,20:29,ROSN,724.24,1970,1426752.8,S,1
101,16.01.2016,14:38,ROSN,1733.32,645,1117991.4,S,1
102,11.07.2005,18:08,ROSN,1396.75,1382,1930308.5,B,1
103,06.12.2003,1:52,ROSN,193.36,718,138832.48,B,1
104,17.07.2010,13:27,ROSN,2049.35,1447,2965409.45,S,1
105,20.07.2010,22:57,ROSN,452.12,205,92684.6,S,1
106,15.06.2008,5:31,ROSN,825.89,669,552520.41,S,1
107,24.01.2005,14:01,ROSN,3281.8,128,420070.4,B,1
108,12.11.2010,7:22,ROSN,198.45,1587,314940.15,S,1
109,23.02.2002,4:20,ROSN,554.66,1138,631203.08,B,1
110,30.09.2014,16:26,ROSN,2377.04,1852,4402278.08,S,1
111,23.10.2017,11:14,ROSN,4814.65,1896,9128576.4,S,1
112,07.10.2004,13:52,ROSN,2223.47,1910,4246827.7,S,1
113,01.02.2004,10:39,ROSN,3104.85,1484,4607597.4,S,1
114,17.05.2020,16:33,ROSN,3547.46,1408,4994823.68,B,1
115,29.01.2002,0:03,ROSN,2083.94,291,606426.54,S,1
116,16.08.2004,22:24,ROSN,3700.43,1412,5225007.16,B,1
117,16.01.2007,1:44,ROSN,3845.61,1462,5622281.82,S,1
118,19.11.2019,2:33,ROSN,4342.38,982,4264217.16,S,1
119,01.02.2002,8:09,ROSN,4669.15,250,1167287.5,S,1
120,05.01.2011,3:32,ROSN,4815.86,797,3838240.42,B,1
121,05.08.2002,18:16,ROSN,3957.71,281,1112116.51,B,1
122,04.12.2002,17:26,ROSN,3225.67,622,2006366.74,B,1
123,25.08.2014,22:35,ROSN,4160.59,246,1023505.14,S,1
124,03.10.2000,11:22,ROSN,852.24,1697,1446251.28,B,1
125,06.06.2018,19:01,ROSN,4614.39,865,3991447.35,B,1
126,01.04.2004,14:42,ROSN,3544.66,1919,6802202.54,B,1
127,05.04.2003,15:01,ROSN,1518.7,1105,1678163.5,S,1
128,28.03.2000,21:42,ROSN,4219.98,784,3308464.32,S,1
129,10.07.2007,5:20,ROSN,779.81,246,191833.26,S,1
130,31.03.2011,16:55,ROSN,654.09,600,392454.0,S,1
131,04.03.2001,0:55,ROSN,3504.51,1668,5845522.68,B,1
132,15.11.2009,22:22,ROSN,1436.89,565,811842.85,S,1
133,16.04.2011,7:00,ROSN,862.21,1720,1483001.2,S,1
134,06.08.2016,1:48,ROSN,978.84,477,466906.68,S,1
135,04.07.2003,15:09,ROSN,184.15,380,69977.0,B,1
136,16.06.2006,2:31,ROSN,3459.08,884,3057826.72,S,1
137,07.08.2009,18:23,ROSN,392.23,937,367519.51,S,1
138,22.10.2014,1:27,ROSN,2288.13,593,1356861.09,S,1
139,17.10.2016,8:00,ROSN,969.68,1564,1516579.52,B,1
140,04.09.2004,13:04,ROSN,4196.7,1982,8317859.4,S,1
141,10.12.2005,22:44,ROSN,84.68,667,56481.56,B,1
142,23.12.2005,4:18,ROSN,2087.67,1752,3657597.84,S,1
143,06.03.2016,6:19,ROSN,777.65,1544,1200691.6,B,1
144,17.10.2003,23:41,ROSN,1747.78,1177,2057137.06,S,1
145,14.09.2016,9:47,ROSN,4339.63,1990,8635863.7,S,1
146,08.11.2021,22:59,ROSN,633.07,83,52544.81,B,1
147,28.08.2001,14:16,ROSN,4389.24,1550,6803322.0,S,1
148,10.11.2009,10:30,ROSN,4111.82,890,3659519.8,S,1
149,04.04.2023,13:24,ROSN,4920.2,1896,9328699.2,B,1
150,17.10.2004,2:09,ROSN,195.67,1711,334791.37,S,1
151,09.01.2017,17:13,ROSN,457.7,1453,665038.1,B,1
152,22.01.2016,1:30,ROSN,3228.05,892,2879420.6,S,1
153,07.04.2005,15:36,ROSN,2168.13,1426,3091753.38,S,1
154,22.12.2014,23:56,ROSN,570.37,464,264651.68,S,1
155,15.03.2003,4:59,ROSN,1544.01,361,557387.61,S,1
156,06.08.2021,1:44,ROSN,3166.94,1548,4902423.12,B,1
157,31.08.2020,20:34,ROSN,4107.48,1177,4834503.96,B,1
158,20.07.2007,11:11,ROSN,3830.89,1689,6470373.21,S,1
159,24.06.2010,3:25,ROSN,1285.05,247,317407.35,S,1
160,23.03.2005,7:08,ROSN,252.85,1639,414421.15,B,1
161,10.02.2023,15:44,ROSN,3851.48,581,2237709.88,B,1
162,05.04.2007,16:48,ROSN,2534.71,72,182499.12,S,1
163,24.02.2008,22:03,ROSN,4790.75,1044,5001543.0,S,1
164,11.12.2000,1:11,ROSN,1418.59,774,1097988.66,S,1
165,30.11.2001,19:57,ROSN,3791.19,140,530766.6,B,1
166,20.12.2021,7:59,ROSN,4443.01,1695,7530901.95,S,1
167,02.09.2019,11:50,ROSN,1592.59,32,50962.88,S,1
168,21.09.2017,21:41,ROSN,1463.51,1759,2574314.09,B,1
169,18.04.2018,2:40,ROSN,2968.88,692,2054464.96,S,1
170,28.04.2002,2:24,ROSN,985.39,1681,1656440.59,B,1
171,15.05.2006,4:18,ROSN,1728.3,1731,2991687.3,B,1
172,15.03.2001,8:38,ROSN,3601.03,94,338496.82,S,1
173,05.02.2017,19:17,ROSN,2260.36,518,1170866.48,B,1
174,13.09.2003,4:05,ROSN,2910.46,874,2543742.04,B,1
175,16.09.2016,11:15,ROSN,4214.4,1044,4399833.6,S,1
176,20.04.2006,6:00,ROSN,4630.93,1463,6775050.59,S,1
177,10.05.2012,9:45,ROSN,1842.54,1276,2351081.04,S,1
178,12.03.2002,18:29,ROSN,4359.68,172,749864.96,S,1
179,18.02.2013,11:40,ROSN,1345.9,618,831766.2,B,1
180,27.02.2004,9:47,ROSN,3441.15,187,643495.05,B,1
181,10.01.2000,20:20,ROSN,852.92,1901,1621400.92,S,1
182,31.03.2005,3:48,ROSN,4008.28,82,328678.96,S,1
183,25.06.2011,9:36,ROSN,2315.66,1287,2980254.42,S,1
184,08.12.2019,11:02,ROSN,168.08,80,13446.4,B,1
185,15.07.2019,22:15,ROSN,4053.27,208,843080.16,S,1
186,12.09.2008,14:12,ROSN,1602.13,10,16021.3,B,1
187,31.10.2006,1:31,ROSN,3040.9,1851,5628705.9,S,1
188,12.11.2000,22:43,ROSN,3705.79,260,963505.4,B,1
189,20.11.2007,3:18,ROSN,1622.96,46,74656.16,B,1
190,25.03.2008,1:14,ROSN,2684.2,1392,3736406.4,B,1
191,22.03.2013,4:16,ROSN,1472.49,835,1229529.15,B,1
192,05.07.2008,4:20,ROSN,665.86,399,265678.14,B,1
193,30.12.2017,22:30,ROSN,785.35,1446,1135616.1,S,1
194,05.08.2000,0:11,ROSN,3211.72,545,1750387.4,B,1
195,13.10.2022,2:15,ROSN,4875.45,888,4329399.6,B,1
196,21.05.2019,21:29,ROSN,3315.57,1218,4038364.26,S,1
197,05.02.2010,2:04,ROSN,4352.75,17,73996.75,S,1
198,16.04.2012,0:18,ROSN,225.51,1416,319322.16,B,1
199,27.03.2001,5:01,ROSN,855.99,1332,1140178.68,B,1
200,30.01.2002,7:20,ROSN,4263.19,712,3035391.28,S,1
201,31.10.2010,12:44,ROSN,2151.24,1630,3506521.2,S,1
202,01.07.2006,5:07,ROSN,3834.9,1973,7566257.7,S,1
203,24.01.2022,10:55,ROSN,1884.22,1384,2607760.48,B,1
204,15.12.2009,12:44,ROSN,356.29,1295,461395.55,B,1
205,20.03.2002,15:22,ROSN,3301.35,552,1822345.2,B,1
206,21.03.2004,13:31,ROSN,3447.45,427,1472061.15,S,1
207,17.12.2021,18:52,ROSN,973.7,1637,1593946.9,B,1
208,07.12.2006,19:19,ROSN,3570.25,1835,6551408.75,S,1
209,12.01.2010,12:26,ROSN,1976.86,1748,3455551.28,S,1
210,12.03.2005,12:40,ROSN,174.51,1503,262288.53,B,1
211,01.07.2000,9:17,ROSN,2391.98,1827,4370147.46,S,1
212,15.06.2009,17:58,ROSN,4057.13,1132,4592671.16,S,1
213,01.06.2015,9:52,ROSN,1600.48,806,1289986.88,S,1
214,18.12.2007,13:54,ROSN,4080.52,849,3464361.48,B,1
215,22.08.2016,5:17,ROSN,4987.11,6,29922.66,S,1
216,05.08.2005,21:27,ROSN,4079.67,227,926085.09,B,1
217,04.07.2020,11:46,ROSN,3401.75,403,1370905.25,S,1
218,26.05.2021,2:34,ROSN,811.02,789,639894.78,B,1
219,22.10.2004,4:19,ROSN,4055.48,1135,4602969.8,B,1
220,08.07.2023,5:19,ROSN,716.49,630,451388.7,B,1
221,24.01.2022,20:05,ROSN,1011.1,1151,1163776.1,S,1
222,25.07.2014,7:11,ROSN,4845.78,83,402199.74,B,1
223,15.02.2018,18:19,ROSN,1228.09,526,645975.34,S,1
224,14.12.2013,7:01,ROSN,1985.83,233,462698.39,S,1
225,14.04.2001,6:45,ROSN,1565.05,125,195631.25,S,1
226,08.04.2010,23:06,ROSN,4558.45,657,2994901.65,S,1
227,19.08.2014,11:36,ROSN,1432.38,1066,1526917.08,S,1
228,21.05.2006,17:08,ROSN,4561.59,1271,5797780.89,B,1
229,12.05.2003,9:41,ROSN,3757.07,1250,4696337.5,B,1
230,10.09.2000,10:01,ROSN,26.43,150,3964.5,S,1
231,20.01.2007,23:07,ROSN,571.7,1778,1016482.6,S,1
232,25.11.2012,16:22,ROSN,3107.21,1867,5801161.07,B,1
233,21.07.2019,7:34,ROSN,3525.65,1486,5239115.9,B,1
234,26.06.2017,4:13,ROSN,3711.18,1283,4761443.94,B,1
235,14.02.2004,9:48,ROSN,3252.82,1754,5705446.28,S,1
236,03.04.2012,22:07,ROSN,1842.81,1393,2567034.33,S,1
237,10.10.2023,5:29,ROSN,2725.37,1772,4829355.64,B,1
238,09.12.2008,3:10,ROSN,3185.21,1369,4360552.49,S,1
239,13.05.2023,9:17,ROSN,1043.64,437,456070.68,S,1
240,13.09.2015,9:04,ROSN,3715.53,1941,7211843.73,S,1
241,26.04.2011,10:49,ROSN,2316.23,1220,2825800.6,S,1
242,27.01.2007,6:29,ROSN,120.25,601,72270.25,S,1
243,12.02.2020,4:20,ROSN,167.4,1092,182800.8,S,1
244,17.10.2021,16:32,ROSN,1214.18,314,381252.52,S,1
245,30.05.2021,22:37,ROSN,4261.21,1384,5897514.64,B,1
246,30.11.2004,10:59,ROSN,4622.05,120,554646.0,S,1
247,10.05.2006,12:16,ROSN,4551.61,1143,5202490.23,S,1
248,17.01.2017,17:37,ROSN,708.9,1826,1294451.4,B,1
249,12.07.2021,17:07,ROSN,317.63,1200,381156.0,B,1
250,20.01.2021,0:58,ROSN,2741.49,1019,2793578.31,S,1
251,28.06.2003,7:30,ROSN,2627.68,1075,2824756.0,B,1
252,26.08.2008,23:38,ROSN,1137.81,365,415300.65,B,1
253,06.06.2019,23:01,ROSN,268.75,85,22843.75,B,1
254,11.11.2000,3:30,ROSN,4670.65,619,2891132.35,B,1
255,21.08.2013,11:28,ROSN,5.66,746,4222.36,B,1
256,03.02.2008,13:25,ROSN,710.74,464,329783.36,B,1
257,06.05.2005,22:28,ROSN,23.74,34,807.16,B,1
258,08.04.2001,1:16,ROSN,1116.1,775,864977.5,B,1
259,29.03.2012,14:02,ROSN,1475.93,1438,2122387.34,S,1
260,18.12.2010,18:03,ROSN,3356.33,558,1872832.14,B,1
261,22.05.2021,19:52,ROSN,1715.41,1869,3206101.29,B,1
262,14.01.2010,1:40,ROSN,2877.59,1093,3145205.87,B,1
263,04.12.2009,21:02,ROSN,1947.22,1035,2015372.7,B,1
264,09.11.2020,6:15,ROSN,4269.47,334,1426002.98,B,1
265,27.10.2011,5:54,ROSN,2348.64,945,2219464.8,B,1
266,31.08.2000,7:56,ROSN,732.08,1853,1356544.24,B,1
267,27.11.2001,3:06,ROSN,3163.52,17,53779.84,B,1
268,18.03.2002,16:48,ROSN,4669.12,1449,6765554.88,B,1
269,23.08.2003,2:49,ROSN,2756.74,56,154377.44,B,1
270,22.01.2019,15:00,ROSN,2328.58,584,1359890.72,S,1
271,15.09.2006,7:12,ROSN,4395.08,1775,7801267.0,S,1
272,16.02.2015,23:16,ROSN,3742.14,1309,4898461.26,S,1
273,26.12.2006,15:24,ROSN,3221.44,1310,4220086.4,B,1
274,25.08.2004,10:45,ROSN,1417.67,1499,2125087.33,S,1
275,17.12.2020,0:55,ROSN,1992.42,995,1982457.9,B,1
276,21.09.2022,3:11,ROSN,3786.99,1661,6290190.39,B,1
277,28.07.2000,15:06,ROSN,569.61,171,97403.31,B,1
278,16.04.2008,9:12,ROSN,4689.13,603,2827545.39,S,1
279,31.05.2015,2:15,ROSN,1460.4,78,113911.2,S,1
280,05.05.2015,23:42,ROSN,480.26,383,183939.58,B,1
281,08.08.2011,3:13,ROSN,4871.19,770,3750816.3,B,1
282,09.02.2004,17:45,ROSN,1638.78,1774,2907195.72,B,1
283,05.04.2002,14:08,ROSN,2768.19,1622,4490004.18,B,1
284,17.11.2018,15:29,ROSN,1003.9,1211,1215722.9,S,1
285,21.10.2005,14:12,ROSN,345.68,1623,561038.64,B,1
286,13.03.2001,10:14,ROSN,858.31,1558,1337246.98,S,1
287,17.03.2022,1:46,ROSN,3043.27,673,2048120.71,B,1
288,09.07.2015,0:23,ROSN,3359.13,76,255293.88,S,1
289,19.02.2008,1:55,ROSN,4319.61,1241,5360636.01,S,1
290,09.10.2015,16:36,ROSN,4377.98,1225,5363025.5,B,1
291,16.05.2008,14:25,ROSN,1995.52,1064,2123233.28,S,1
292,13.02.2004,11:30,ROSN,3604.76,1793,6463334.68,B,1
293,28.01.2003,19:29,ROSN,4546.23,1881,8551458.63,S,1
294,05.06.2007,0:32,ROSN,95.59,580,55442.2,B,1
295,23.02.2020,15:38,ROSN,1589.17,359,570512.03,B,1
296,28.04.2014,23:40,ROSN,1549.15,68,105342.2,S,1
297,20.06.2011,9:02,ROSN,2806.01,1771,4969443.71,S,1
298,22.05.2006,7:28,ROSN,3413.26,605,2065022.3,B,1
299,16.01.2020,13:10,ROSN,1382.19,327,451976.13,B,1
300,29.06.2020,0:01,ROSN,3668.94,805,2953496.7,S,1
301,29.08.2004,22:02,ROSN,1813.87,229,415376.23,B,1
302,29.02.2008,11:28,ROSN,455.4,1175,535095.0,S,1
303,02.03.2001,14:02,ROSN,4639.01,1748,8108989.48,B,1
304,11.03.2006,1:55,ROSN,4693.74,263,1234453.62,S,1
305,26.12.2001,11:37,ROSN,2257.2,570,1286604.0,S,1
306,15.10.2015,16:43,ROSN,2020.97,1641,3316411.77,B,1
307,25.10.2020,7:10,ROSN,88.34,173,15282.82,B,1
308,04.05.2002,12:04,ROSN,1675.38,104,174239.52,S,1
309,04.08.2020,13:45,ROSN,3415.67,1337,4566750.79,B,1
310,14.02.2005,9:24,ROSN,1163.83,1392,1620051.36,B,1
311,19.09.2007,13:22,ROSN,613.65,1325,813086.25,B,1
312,25.08.2007,12:01,ROSN,1440.2,1244,1791608.8,S,1
313,14.12.2013,18:44,ROSN,3389.51,523,1772713.73,B,1
314,09.04.2002,19:40,ROSN,927.69,659,611347.71,B,1
315,30.03.2004,18:10,ROSN,4781.72,619,2959884.68,B,1
316,01.03.2002,7:21,ROSN,2805.5,974,2732557.0,S,1
317,18.11.2017,12:37,ROSN,4022.02,1253,5039591.06,B,1
318,28.12.2013,5:49,ROSN,1927.89,1744,3362240.16,S,1
319,25.03.2014,15:23,ROSN,3343.56,610,2039571.6,B,1
320,29.10.2007,22:20,ROSN,1498.01,1858,2783302.58,B,1
321,03.08.2013,3:00,ROSN,1498.95,1389,2082041.55,B,1
322,21.06.2020,3:19,ROSN,594.08,1777,1055680.16,B,1
323,08.10.2013,10:08,ROSN,1806.83,1410,2547630.3,S,1
324,30.05.2010,9:19,ROSN,3055.29,1648,5035117.92,S,1
325,06.08.2004,14:09,ROSN,1016.14,374,380036.36,B,1
326,16.12.2019,3:32,ROSN,2582.32,1459,3767604.88,B,1
327,04.03.2021,3:02,ROSN,4759.65,862,4102818.3,B,1
328,17.05.2008,16:41,ROSN,4057.3,574,2328890.2,S,1
329,22.06.2005,20:59,ROSN,4384.89,230,1008524.7,B,1
330,12.07.2001,14:54,ROSN,3306.42,1575,5207611.5,B,1
331,14.03.2005,9:48,ROSN,2744.01,1769,4854153.69,B,1
332,17.10.2008,13:20,ROSN,2246.5,368,826712.0,B,1
333,11.03.2008,14:24,ROSN,3760.29,676,2541956.04,B,1
334,08.12.2015,18:57,ROSN,791.44,643,508895.92,S,1
335,01.03.2021,14:55,ROSN,4836.33,664,3211323.12,S,1
336,09.09.2009,11:41,ROSN,4095.64,1233,5049924.12,B,1
337,27.10.2004,4:32,ROSN,2497.28,1774,4430174.72,B,1
338,08.12.2006,2:11,ROSN,3353.16,1068,3581174.88,S,1
339,15.06.2010,18:39,ROSN,3276.41,898,2942216.18,B,1
340,27.12.2007,3:18,ROSN,4626.28,232,1073296.96,B,1
341,04.10.2002,8:21,ROSN,202.19,840,169839.6,S,1
342,13.06.2003,16:29,ROSN,2472.59,868,2146208.12,S,1
343,26.10.2008,2:22,ROSN,997.36,1900,1894984.0,B,1
344,20.03.2016,17:42,ROSN,3206.69,1541,4941509.29,S,1
345,18.02.2021,23:57,ROSN,4678.81,1940,9076891.4,S,1
346,29.02.2016,12:11,ROSN,4912.88,53,260382.64,S,1
347,08.12.2020,20:23,ROSN,2837.88,967,2744229.96,B,1
348,09.02.2019,18:25,ROSN,3993.01,1553,6201144.53,S,1
349,26.07.2023,20:31,ROSN,593.36,1549,919114.64,S,1
350,01.01.2004,13:00,ROSN,4781.46,818,3911234.28,B,1
351,02.01.2012,19:04,ROSN,4983.41,1763,8785751.83,S,1
352,30.10.2004,0:12,ROSN,2065.83,884,1826193.72,S,1
353,09.07.2012,12:32,ROSN,343.16,1443,495179.88,S,1
354,06.07.2015,17:58,ROSN,2055.67,1458,2997166.86,S,1
355,19.08.2006,13:51,ROSN,1359.37,1747,2374819.39,S,1
356,07.08.2010,7:41,ROSN,1809.57,653,1181649.21,B,1
357,23.10.2010,1:31,ROSN,1136.26,335,380647.1,B,1
358,06.05.2003,19:26,ROSN,1837.81,942,1731217.02,S,1
359,14.11.2001,15:52,ROSN,3812.98,967,3687151.66,S,1
360,22.01.2022,10:13,ROSN,3386.28,492,1666049.76,S,1
361,21.04.2001,13:36,ROSN,4359.25,1853,8077690.25,B,1
362,22.11.2001,16:15,ROSN,2372.57,1524,3615796.68,B,1
363,08.12.2008,18:08,ROSN,2678.77,96,257161.92,B,1
364,12.01.2013,16:06,ROSN,4241.18,1764,7481441.52,S,1
365,22.03.2012,10:04,ROSN,2307.28,1585,3657038.8,B,1
366,02.11.2023,15:42,ROSN,29.32,891,26124.12,S,1
367,03.07.2007,5:50,ROSN,4659.28,1700,7920776.0,S,1
368,09.11.2021,9:39,ROSN,4336.41,491,2129177.31,S,1
369,09.03.2002,8:21,ROSN,716.27,146,104575.42,S,1
370,28.08.2000,13:13,ROSN,4853.83,266,1291118.78,S,1
371,24.09.2004,16:48,ROSN,3526.51,489,1724463.39,S,1
372,28.06.2002,2:09,ROSN,1527.25,685,1046166.25,S,1
373,14.08.2002,15:21,ROSN,1205.2,378,455565.6,S,1
374,11.04.2002,21:50,ROSN,1021.24,1929,1969971.96,B,1
375,12.06.2020,2:38,ROSN,4314.17,853,3679987.01,S,1
376,03.10.2006,0:52,ROSN,3108.42,1326,4121764.92,B,1
377,21.12.2009,9:53,ROSN,3567.26,583,2079712.58,B,1
378,30.06.2016,8:31,ROSN,4498.86,608,2735306.88,B,1
379,06.01.2013,8:24,ROSN,4695.42,892,4188314.64,B,1
380,11.12.2020,2:16,ROSN,312.95,465,145521.75,S,1
381,10.01.2004,13:04,ROSN,2869.45,435,1248210.75,S,1
382,24.08.2000,15:10,ROSN,1510.57,996,1504527.72,B,1
383,17.12.2016,19:21,ROSN,299.74,1582,474188.68,S,1
384,17.11.2004,12:16,ROSN,4839.17,507,2453459.19,S,1
385,25.05.2012,20:33,ROSN,1627.22,1367,2224409.74,S,1
386,23.07.2007,14:54,ROSN,561.59,1049,589107.91,B,1
387,16.04.2008,1:24,ROSN,3170.5,1158,3671439.0,B,1
388,03.12.2008,12:59,ROSN,623.36,1157,721227.52,S,1
389,21.11.2011,6:16,ROSN,893.89,879,785729.31,B,1
390,11.11.2022,8:14,ROSN,3976.57,717,2851200.69,S,1
391,12.07.2019,22:23,ROSN,3666.96,760,2786889.6,B,1
392,05.03.2015,19:30,ROSN,1563.2,913,1427201.6,B,1
393,20.08.2016,11:40,ROSN,150.41,1477,222155.57,B,1
394,03.10.2001,10:05,ROSN,418.34,918,384036.12,S,1
395,11.01.2011,9:37,ROSN,3187.56,1183,3770883.48,S,1
396,09.12.2020,13:41,ROSN,3073.15,1662,5107575.3,B,1
397,08.08.2009,15:49,ROSN,3163.96,1641,5192058.36,B,1
398,18.05.2009,1:57,ROSN,4599.09,1642,7551705.78,B,1
